Date,Enfermaria,UTI,UTI neonatal,Enfermaria_total,UTI_total,UTI neonatal_total
2020-04-23,56.22,56.4,58.18,,,
2020-04-24,58.81,60.19,60.0,,,
2020-04-25,59.09,60.19,54.55,,,
2020-04-26,50.32,62.09,58.18,,,
2020-04-27,54.21,60.66,61.82,,,
2020-04-28,59.38,56.87,60.0,,,
2020-04-29,61.68,62.56,65.45,,,
2020-04-30,62.76,60.19,63.64,,,
2020-05-01,57.15,58.29,70.91,,,
2020-05-02,53.27,57.35,52.73,,,
2020-05-03,49.75,52.61,63.64,,,
2020-05-04,52.19,53.55,67.27,,,
2020-05-05,56.22,54.03,70.91,,,
2020-05-06,56.94,55.92,67.27,,,
2020-05-07,57.8,56.87,63.64,,,
2020-05-08,56.65,54.03,67.27,,,
2020-05-09,53.06,57.82,69.09,,,
2020-05-10,45.22,54.03,70.91,,,
2020-05-11,49.46,50.24,74.55,,,
2020-05-12,56.07,53.55,70.91,,,
2020-05-13,62.62,56.87,69.09,,,
2020-05-14,61.32,50.23,69.09,,,
2020-05-15,61.8,55.3,65.5,,,
2020-05-16,60.5,62.7,69.1,,,
2020-05-17,54.5,55.3,65.5,,,
2020-05-18,55.5,55.3,69.1,,,
2020-05-19,55.4,55.3,63.6,,,
2020-05-20,61.9,57.1,69.1,,,
2020-05-21,64.2,63.6,61.8,,,
2020-05-22,58.8,63.1,62.7,1419.0,217.0,59.0
2020-05-23,55.0,62.7,61.0,1419.0,217.0,59.0
2020-05-24,46.4,62.7,64.4,1419.0,217.0,59.0
2020-05-25,51.4,52.1,62.7,1419.0,217.0,59.0
2020-05-26,58.5,56.2,62.7,1419.0,217.0,59.0
2020-05-27,60.4,57.1,62.7,1419.0,217.0,59.0
2020-05-28,58.4,62.7,62.7,1419.0,217.0,59.0
2020-05-29,54.7,59.7,62.7,1419.0,217.0,59.0
2020-05-30,53.8,64.3,66.1,1419.0,217.0,59.0
2020-05-31,48.4,58.4,67.8,1419.0,221.0,59.0
2020-06-01,50.4,58.8,62.7,1419.0,221.0,59.0
2020-06-02,52.3,62.0,59.3,1419.0,221.0,59.0
2020-06-03,54.0,58.8,57.6,1419.0,221.0,59.0
2020-06-04,55.0,58.8,67.8,1419.0,221.0,59.0
2020-06-05,51.5,57.0,62.7,1419.0,221.0,59.0
2020-06-06,49.9,60.2,66.1,1419.0,221.0,59.0
2020-06-07,40.0,61.1,61.0,1419.0,221.0,59.0
2020-06-08,43.5,55.7,59.3,1424.0,221.0,59.0
2020-06-09,50.0,58.8,61.0,1434.0,221.0,59.0
2020-06-10,52.7,65.6,54.2,1434.0,221.0,59.0
2020-06-11,47.4,69.2,55.9,1434.0,221.0,59.0
2020-06-12,49.8,62.4,52.5,1434.0,221.0,59.0
2020-06-13,49.4,68.3,55.9,1434.0,221.0,59.0
2020-06-14,40.6,62.0,57.6,1434.0,221.0,59.0
2020-06-15,40.9,61.5,57.6,1434.0,221.0,59.0
2020-06-16,48.5,61.5,67.8,1434.0,221.0,59.0
2020-06-17,50.9,68.8,67.8,1434.0,221.0,59.0
2020-06-18,50.7,66.5,66.1,1434.0,221.0,59.0
2020-06-19,47.6,72.4,61.0,1434.0,221.0,59.0
2020-06-20,49.2,73.8,55.9,1434.0,221.0,59.0
2020-06-21,38.2,66.1,55.9,1434.0,221.0,59.0
2020-06-22,41.7,62.9,54.2,1434.0,221.0,59.0
2020-06-23,47.4,62.4,52.5,1434.0,221.0,59.0
2020-06-24,47.3,66.5,50.8,1434.0,221.0,59.0
2020-06-25,50.0,64.3,55.9,1434.0,221.0,59.0
2020-06-26,50.6,66.5,49.2,1434.0,221.0,59.0
2020-06-27,48.6,63.3,54.2,1434.0,221.0,59.0
2020-06-28,39.9,59.7,47.5,1434.0,221.0,59.0
2020-06-29,42.0,55.2,52.5,1434.0,221.0,59.0
2020-06-30,47.4,69.7,47.5,1434.0,221.0,59.0
2020-07-01,49.4,64.7,57.6,1434.0,221.0,59.0
2020-07-02,48.4,62.8,55.9,1434.0,231.0,59.0
2020-07-03,48.12,62.77,61.2,1434.0,231.0,59.0
2020-07-04,49.02,61.47,57.63,1434.0,231.0,59.0
2020-07-05,41.42,62.77,49.15,1434.0,231.0,59.0
2020-07-06,45.54,64.94,44.07,1434.0,231.0,59.0
2020-07-07,51.53,69.7,50.85,1434.0,231.0,59.0
2020-07-08,55.02,67.97,47.46,1434.0,231.0,59.0
2020-07-09,55.37,66.23,44.07,1434.0,231.0,59.0
2020-07-10,56.07,63.64,44.07,1434.0,231.0,59.0
2020-07-11,53.0,65.37,49.15,1434.0,231.0,59.0
2020-07-12,48.86,62.34,50.85,1449.0,231.0,59.0
2020-07-13,53.69,65.37,49.15,1449.0,231.0,59.0
2020-07-14,52.66,61.47,47.46,1449.0,231.0,59.0
2020-07-15,56.66,64.94,45.76,1449.0,231.0,59.0
2020-07-16,59.7,62.77,47.46,1449.0,231.0,59.0
2020-07-17,57.35,70.13,54.24,1449.0,231.0,59.0
2020-07-18,51.83,69.26,55.93,1449.0,231.0,59.0
2020-07-19,47.96,74.89,52.54,1449.0,231.0,59.0
2020-07-20,47.48,73.16,57.63,1449.0,231.0,59.0
2020-07-21,55.07,73.16,52.54,1449.0,231.0,59.0
2020-07-22,56.66,74.03,50.85,1449.0,231.0,59.0
2020-07-23,57.42,70.13,49.15,1449.0,231.0,59.0
2020-07-24,57.49,68.4,50.85,1449.0,231.0,59.0
2020-07-25,58.25,64.07,55.93,1449.0,231.0,59.0
2020-07-26,49.07,64.94,54.24,1449.0,231.0,59.0
2020-07-27,48.59,70.13,54.24,1449.0,231.0,59.0
2020-07-28,55.28,71.43,59.32,1449.0,231.0,59.0
2020-07-29,56.45,76.19,55.93,1449.0,231.0,59.0
2020-07-30,58.39,71.43,57.63,1449.0,231.0,59.0
2020-07-31,55.28,72.73,59.32,1449.0,231.0,59.0
2020-08-01,49.76,66.67,54.24,1449.0,231.0,59.0
2020-08-02,51.9,70.56,55.93,1449.0,231.0,59.0
2020-08-03,47.2,65.8,57.63,1449.0,231.0,59.0
2020-08-04,51.0,63.9,59.32,1449.0,241.0,59.0
2020-08-05,55.9,63.9,55.93,1449.0,241.0,59.0
2020-08-06,53.9,65.98,52.54,1449.0,241.0,59.0
2020-08-07,51.9,70.12,47.46,1449.0,241.0,59.0
2020-08-08,55.35,75.1,50.85,1449.0,241.0,59.0
2020-08-09,46.65,69.71,47.46,1449.0,241.0,59.0
2020-08-10,51.14,67.22,54.24,1449.0,241.0,59.0
2020-08-11,57.21,67.22,55.93,1449.0,241.0,59.0
2020-08-12,60.39,70.54,50.85,1449.0,241.0,59.0
2020-08-13,61.08,68.05,49.15,1449.0,241.0,59.0
2020-08-14,58.66,69.71,52.54,1449.0,241.0,59.0
2020-08-15,54.38,70.95,57.63,1449.0,241.0,59.0
2020-08-16,51.69,71.37,49.15,1449.0,241.0,59.0
2020-08-17,54.52,67.22,54.24,1449.0,241.0,59.0
2020-08-18,58.73,69.71,54.24,1449.0,241.0,59.0
2020-08-19,59.01,68.46,59.32,1449.0,241.0,59.0
2020-08-20,59.35,72.2,50.85,1449.0,241.0,59.0
2020-08-21,54.11,68.88,52.54,1449.0,241.0,59.0
2020-08-22,52.86,75.52,50.85,1449.0,241.0,59.0
2020-08-23,45.07,70.12,49.15,1449.0,241.0,59.0
2020-08-24,46.45,69.71,52.54,1449.0,241.0,59.0
2020-08-25,54.87,66.8,54.24,1449.0,241.0,59.0
2020-08-26,60.46,73.03,49.15,1449.0,241.0,59.0
2020-08-27,61.01,71.78,47.46,1449.0,241.0,59.0
2020-08-28,58.39,71.78,49.15,1449.0,241.0,59.0
2020-08-29,57.21,74.69,49.15,1449.0,241.0,59.0
2020-08-30,49.34,71.78,50.85,1449.0,241.0,59.0
2020-08-31,54.38,69.29,55.93,1449.0,241.0,59.0
2020-09-01,59.49,74.27,47.46,1449.0,241.0,59.0
2020-09-02,59.35,74.69,47.46,1449.0,241.0,59.0
2020-09-03,61.21,70.12,50.85,1449.0,241.0,59.0
2020-09-04,60.73,76.76,54.24,1449.0,241.0,59.0
2020-09-05,57.14,71.37,45.76,1449.0,241.0,59.0
2020-09-06,51.35,73.03,54.24,1449.0,241.0,59.0
2020-09-07,49.07,70.54,52.54,1449.0,241.0,59.0
2020-09-08,53.55,68.46,50.85,1449.0,241.0,59.0
2020-09-09,61.9,70.95,52.54,1449.0,241.0,59.0
2020-09-10,63.35,73.03,50.85,1449.0,241.0,59.0
2020-09-11,60.66,68.88,54.24,1449.0,241.0,59.0
2020-09-12,56.31,67.63,57.63,1449.0,241.0,59.0
2020-09-13,51.69,69.29,55.93,1449.0,241.0,59.0
2020-09-14,56.18,66.39,57.63,1449.0,241.0,59.0
2020-09-15,61.01,65.98,47.46,1449.0,241.0,59.0
2020-09-16,62.59,70.95,45.76,1449.0,241.0,59.0
2020-09-17,65.08,71.37,55.93,1449.0,241.0,59.0
2020-09-18,60.25,67.22,49.15,1449.0,241.0,59.0
2020-09-19,59.35,68.88,42.37,1449.0,241.0,59.0
2020-09-20,51.48,72.61,42.31,1449.0,241.0,59.0
2020-09-21,54.8,68.88,45.76,1449.0,241.0,59.0
2020-09-22,61.28,70.12,54.24,1449.0,241.0,59.0
2020-09-23,62.11,70.12,49.15,1449.0,241.0,59.0
2020-09-24,63.15,68.05,45.76,1449.0,241.0,59.0
2020-09-25,63.29,65.98,50.85,1449.0,241.0,59.0
2020-09-26,62.73,72.2,50.85,1449.0,241.0,59.0
2020-09-27,50.31,65.15,45.76,1449.0,241.0,59.0
2020-09-28,54.45,58.46,45.76,1449.0,241.0,59.0
2020-09-29,61.97,71.78,47.46,1449.0,241.0,59.0
